TYPE;N. ALBO;FONDO;Sito
FPN;88;FONDO PENSIONE PREVIAMBIENTE;previambiente.it
FPN;89;FONDO PENSIONE ALIFOND;alifond.it
FPA;92;AZIMUT PREVIDENZA - FONDO PENSIONE APERTO;https://www.azimut.it/prodotti-previdenziali/azimut-previdenza
FPN;93;FONDO PENSIONE LABORFONDS;laborfonds.it
FPN;99;FONDO PENSIONE FOPEN;fondofopen.it
FPN;100;FONDO PENSIONE PEGASO;fondopegaso.it
FPN;103;FONDO PENSIONE TELEMACO;fondotelemaco.it
FPN;106;FONDO PENSIONE ARCO;fondoarco.it
FPN;107;FONDO PENSIONE FONCER;foncer.it
FPA;111;AZIONE DI PREVIDENZA - FONDO PENSIONE APERTO;https://www.hdiassicurazioni.it/it/privati/previdenza/fondo-pensione-aperto
FPA;115;FONDO PENSIONE APERTO CNP;https://gruppocnp.it/prodotti/fondo-pensione-aperto/fondo-pensione-aperto-cnp
FPN;116;FONDO PENSIONE FONDAPI;fondapi.it
FPN;117;FONDO PENSIONE PREVIMODA;previmoda.it
FPA;118;INSIEME - FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA;https://www.allianz.it/le-soluzioni-per-te/previdenza/fondi-pensione/insieme.html#
FPA;120;FONDO PENSIONE APERTO BIM VITA;https://www.bimvita.it/fondo-pensione-aperto-bim-vita/
FPN;122;FONDO PENSIONE CONCRETO;fondoconcreto.it
FPN;123;FONDO PENSIONE FON.TE.;fondofonte.it
FPN;124;FONDO PENSIONE BYBLOS;fondobyblos.it
FPN;125;FONDO PENSIONE FONDO GOMMA PLASTICA;fondogommaplastica.it
FPN;126;FONDO PENSIONE MEDIAFOND;mediafond.it
FPN;127;PREVAER - FONDO PENSIONE;prevaer.it
FPN;129;FONDO PENSIONE EUROFER;fondoeurofer.it
FPN;136;FONDO PENSIONE PREVEDI;prevedi.it
FPN;139;FONDO PENSIONE PRIAMO;fondopriamo.it
FPN;143;FONDO PENSIONE FONDOPOSTE;fondoposte.it
FPN;145;FONDO PENSIONE FONDO SCUOLA ESPERO;fondoespero.it
FPA;147;FONDO PENSIONE APERTO PENSPLAN PROFI;https://www.fondopensioneprofi.com/
FPN;148;ASTRI - FONDO PENSIONE;astrifondopensione.it
FPA;149;RAIFFEISEN FONDO PENSIONE APERTO;https://www.raiffeisenpensionsfonds.it/it/index.html
FPA;150;FONDO PENSIONE APERTO IL MELOGRANO;https://www.assimoco.it/assimoco/offerta/protezione-persona-casa-famiglia/previdenza/il-melograno.html
FPA;153;FONDO PENSIONE APERTO UBI PREVIDENZA;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/fondo-pensione-aperto-ubi-previdenza
FPA;155;FONDO PENSIONE APERTO SOLUZIONE PREVIDENTE;https://www.helvetia.com/it/web/it/prodotti-e-servizi/prodotti-dedicati-alla-previdenza-complementare/previdenza_complementare/fpa-soluzione-previdente.html
FPN;157;FONDO PENSIONE AGRIFONDO;fondoagrifondo.it
FPA;160;BAP PENSIONE 2007 FONDO PENSIONE APERTO;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/bappensione-2007
FPN;164;FONDO PERSEO SIRIO;fondoperseosirio.it
FPA;169;CORE PENSION FONDO PENSIONE APERTO;https://www.corepension.it/
FPN;170;PREVIDENZA COOPERATIVA;previdenzacooperativa.it
FPA;171;AZIMUT SUSTAINABLE FUTURE -FONDO PENSIONE APERTO;https://www.azimut.it/prodotti-previdenziali/azimut-sustainable-future
PIP;5001;CBA PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.hdiassicurazioni.it/it/archivio/linea-cba-prodotti-non-in-collocamento-previdenza-complementare
PIP;5002;OUVERTURE 2007 - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.hdiassicurazioni.it/it/archivio/linea-cba-prodotti-non-in-collocamento-previdenza-complementare
PIP;5003;POSTAPREVIDENZA VALORE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://postevita.poste.it/piano-individuale-pensionistico/postaprevidenza-valore
PIP;5006;ALLEATA PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.alleanza.it/previdenza-complementare/alleata-previdenza/
PIP;5007;PREVIDENZA HDI - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.hdiassicurazioni.it/it/privati/previdenza/piano-individuale-pensionistico
PIP;5008;FUTURO ATTIVO – PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO – FONDO PENSIONE;https://www.genertel.it/partner-genertel/altri-prodotti/futuro-attivo
PIP;5010;AXA MPS PREVIDENZA ATTIVA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.axa-mps.it/piano-individuale-pensionistico
PIP;5011;AXA MPS PREVIDENZA PERSONALE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.axa-mps.it/piano-individuale-pensionistico
PIP;5012;VIPENSIONO - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.gamalife.it/areaclienti/vipensiono/
PIP;5019;PROGRAMMA PENSIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.zurich.it/persone/risparmio-e-investimento/previdenza/programma-pensione
PIP;5023;GROUPAMA PIANO PENSIONISTICO INDIVIDUALE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.groupama.it/previdenza-integrativa/piano-pensionistico-individuale/
PIP;5024;ELIOS PREVIDENZA 2007 - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.allianz.it/content/dam/onemarketing/azit/allianz-it/prodotti/antonvenetavita/allegati/48rvp2_CC_4292_mar_2023_def.pdf
PIP;5025;TAXBENEFIT NEW - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.mediolanumvita.it/previdenza/taxbenefit-new
PIP;5027;CNP TOP PENSION - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://gruppocnp.it/prodotti/pensione-piano-individuale/cnp-top-pension
PIP;5029;CRÉDIT AGRICOLE VITA PENSIONE PIU' - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.ca-vita.it/fondo-pensione-e-previdenza/pensione-piu
PIP;5033;PROGRAMMA PER TE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.groupama.it/previdenza-integrativa/programma-per-te/
PIP;5036;PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - PROGRESSIVE PENSION PLAN - PROGRAMMA DINAMICO - FONDO PENSIONE;https://www.arcassicura.it/progressive-pension-plan
PIP;5037;PIP PROGETTO PENSIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/pensione-integrativa-progetto-pensione
PIP;5039;PIANO PENSIONISTICO BAYERISCHE - TARIFFA 4026 - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/3e100b1b-ad51-4413-99e7-875ef75d300b
PIP;5040;PIANO PENSIONISTICO BAYERISCHE - TARIFFA 4036 - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/3e100b1b-ad51-4413-99e7-875ef75d300b
PIP;5044;PIANO PENSIONISTICO BAYERISCHE - TARIFFA 4046 - PIANO INDIVIDUALE PENSIONISTICI DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/3e100b1b-ad51-4413-99e7-875ef75d300b
PIP;5046;TAX QUALIFIED ANNUITY III - RENDITA DI PREVIDENZA QUALIFICATA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/23a67670-436d-4d67-9940-0b4078fb76b3
PIP;5047;MODUS. PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://bccvita.it/previdenza-complementare/
PIP;5049;FUTURO PENSIONE PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.gamalife.it/areaclienti/futuro-pensione/
PIP;5050;UNIPOL FUTURO PRESENTE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/risparmio-previdenza/pensione-integrativa-fondi-pensione/Prodotti-fuori-collocamento
PIP;5051;AVIVA VITA - PRO FUTURO - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/aviva-vita-pro-futuro
PIP;5052;CENTO STELLE REALE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.realemutua.it/risparmio/previdenza/cento-stelle-reale
PIP;5053;FEELGOOD - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.italiana.it/risparmio/previdenza/feelgood
PIP;5056;PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE PREVINEXT;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/previnext
PIP;5057;PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE PREVINEXT PLATINUM;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/previnext
PIP;5059;PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO  - FONDO PENSIONE GUARDO AVANTI NEW;http://www.cattolicaprevidenza.it/docs/nota_informativa_guardo.pdf
PIP;5060;PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE - PUNTALTO;http://www.cattolicaprevidenza.it/docs/nota_informativa_guardo.pdf
PIP;5064;CATTOLICA PREVIDENZA PROGETTO PENSIONE BIS - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;http://www.cattolicaprevidenza.it/docs/informazioni_chiave_aderente_pensione_bis.pdf
PIP;5066;NG - NUOVA GENERAZIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/5ba577f2-79be-447c-8cd0-a97e598856ab
PIP;5068;DOMANI SICURO PLUS - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.italiana.it/risparmio/previdenza/domani-sicuro-plus
PIP;5069;AXA PROGETTO PENSIONE PIU' - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.axa.it/documents/715551/1483885/Nota+Informativa_axa+prog+pensione+piu_marzo+2020.pdf/03255112-3298-cf98-fcbd-b4e1a79f16d2?t=1588236083782
PIP;5073;CENTO STELLE TAXPLAN - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.realemutua.it/risparmio/previdenza/cento-stelle-taxplan
PIP;5074;PLANNER - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.italiana.it/itashare/3/DocumentiCovip/2025/Planner.pdf
PIP;5075;VERA VITA PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.veravitaassicurazioni.it/prodotti/previdenza/vera-vita-previdenza
PIP;5079;HELVETIA AEQUA PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIO;https://www.helvetia.com/it/web/it/prodotti-e-servizi/prodotti-dedicati-alla-previdenza-complementare/previdenza_complementare/helvetia_Aequa.html
PIP;5080;CATTOLICAPREVIDENZAPERLAPENSIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;-
PIP;5081;PIANO INDIVIDUALE PENSIONISTICO VITTORIA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.vittoriaassicurazioni.com/prodotti/privati/previdenza/piano-individuale-pensionistico-vittoria/
PIP;5082;EUROVITA FUTURO - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;-
PIP;5083;IL MIO FUTURO - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/piano-individuale-pensionistico-il-mio-futuro
PIP;5084;BAPCRESCENDOPREVIDENTE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.intesasanpaoloassicurazioni.com/prodotti-e-rendimenti/pensione-integrativa/bap-crescendo-previdente
PIP;5087;UNICREDIT FUTURO PIP CNP - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://gruppocnp.it/prodotti/piano-individuale/unicredit-futuro-pip-cnp
PIP;5088;VERA VITA PENSIONE SICURA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.veravitaassicurazioni.it/prodotti/previdenza/vera-vita-pensione-sicura
PIP;5090;BNL PIANOPENSIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://bnl.it/it/Individui-e-Famiglie/Investimenti/Soluzioni-Previdenziali/Piano-Pensione
PIP;5091;MIA PENSIONE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.axa.it/previdenza-complementare
PIP;5093;CRÉDIT AGRICOLE VITA PROGETTO PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.ca-vita.it/fondo-pensione-e-previdenza/progetto-previdenza
PIP;5094;ORIZZONTE PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.allianz.it/le-soluzioni-per-te/previdenza/piani-individuali/orizzonte-previdenza.html
PIP;5096;EUROVITA PENSIONE DOMANI - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/api/pub/ueba/download/doc/v1/fascicoli/7f2c0c7f-6838-432e-9273-1d9b9893d08c
PIP;5097;CNP VALORE INTEGRATIVO - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://gruppocnp.it/prodotti/pensione-piano-individuale/cnp-valore-integrativo
PIP;5098;CREDEMVITA FUTURA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.credemvita.it/content/credemvita/it/home/imprese-e-professionisti/previdenza/pip-credemvita-futura.html
PIP;5099;UNIPOL PREVIDENZA FUTURA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.unipol.it/risparmio-previdenza/pensione-integrativa-fondi-pensione/pip-previdenza-futura
PIP;5101;PIANO PENSIONE MONEYFARM - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.allianzgloballife.com/it_IT/prodotti/piano-pensione-moneyfarm.html
PIP;5102;GENERAZIONE PREVIDENTE - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.generali.it/previdenza/previdenza/generazione-previdente-pensione-integrativa
PIP;5103;ATHORA FUTURO PREVIDENZA - PIANO INDIVIDUALE PENSIONISTICO DI TIPO ASSICURATIVO - FONDO PENSIONE;https://www.athora.it/soluzioni/prodotti/athora-futuro-previdenza/
