tipo,N. Albo,Linea/Comparto,Accordi collettivi,Etichetta accordi,Costo sottoscrizione individuale,Costo sottoscrizione collettiva,Commissione gestione collettiva,Provvigione incentivo,Note,Fonte
FPA,53,PRUDENTE ESG,true,Adesione collettiva - classe C,2,"Spese adesione non previste; spese annue dirette: 8 euro; classe C. Gestione comparto: 0,45% del patrimonio su base annua.","0,45% del patrimonio su base annua.",,,53 - Fondo Pensione Aperto Aureo_BCC_COSTI Adesioni Collettive.pdf
FPA,53,GARANTITO ESG,true,Adesione collettiva - classe C,2,"Spese adesione non previste; spese annue dirette: 8 euro; classe C. Gestione comparto: 0,50% del patrimonio su base annua.","0,50% del patrimonio su base annua.",,,53 - Fondo Pensione Aperto Aureo_BCC_COSTI Adesioni Collettive.pdf
FPA,57,LINEA GARANTITA,true,Adesione collettiva - soglie dipendenti,Non previste,"Spese adesione non previste; spese annue dirette: 20 euro aziende fino a 49 dipendenti, 10 euro oltre 49 dipendenti. Gestione comparto: 1,15% del patrimonio su base annua.","1,15% del patrimonio su base annua.",,,57 - Crédit Agricole Vita FPA-fpa_ni_fpa_credit_agricole_costi_collettivita.pdf
FPA,57,LINEA MODERATA,true,Adesione collettiva - soglie dipendenti,Non previste,"Spese adesione non previste; spese annue dirette: 20 euro aziende fino a 49 dipendenti, 10 euro oltre 49 dipendenti. Gestione comparto: 1,20% del patrimonio su base annua.","1,20% del patrimonio su base annua.",,,57 - Crédit Agricole Vita FPA-fpa_ni_fpa_credit_agricole_costi_collettivita.pdf
FPA,57,LINEA DINAMICA,true,Adesione collettiva - soglie dipendenti,Non previste,"Spese adesione non previste; spese annue dirette: 20 euro aziende fino a 49 dipendenti, 10 euro oltre 49 dipendenti. Gestione comparto: 1,40% del patrimonio su base annua.","1,40% del patrimonio su base annua.",,,57 - Crédit Agricole Vita FPA-fpa_ni_fpa_credit_agricole_costi_collettivita.pdf
FPA,78,NUOVO OBBLIGAZIONARIO ETICO,true,Adesione collettiva Programma Open - fasce A/B/C,"50,00 Euro","Fasce A/B/C disponibili. Spese adesione non previste nelle fasce A/B; fascia C con commissione una tantum come da scheda. Spese annue dirette fino a 30,00 euro; gestione variabile per fascia. Valore dataset per comparto: 30,00 Euro / 1,10% su base annua",,,"Schede multiple per fasce A/B/C; il PDF non consente estrazione affidabile di tutti i valori numerici in modo tabellare, quindi il dettaglio va verificato sulla fonte.",78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-A.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-B.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-C.pdf
FPA,78,BILANCIATO ETICO,true,Adesione collettiva Programma Open - fasce A/B/C,"50,00 Euro","Fasce A/B/C disponibili. Spese adesione non previste nelle fasce A/B; fascia C con commissione una tantum come da scheda. Spese annue dirette fino a 30,00 euro; gestione variabile per fascia. Valore dataset per comparto: 30,00 Euro / 1,30% su base annua",,,"Schede multiple per fasce A/B/C; il PDF non consente estrazione affidabile di tutti i valori numerici in modo tabellare, quindi il dettaglio va verificato sulla fonte.",78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-A.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-B.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-C.pdf
FPA,78,PREVALENTEMENTE AZIONARIO ETICO,true,Adesione collettiva Programma Open - fasce A/B/C,"50,00 Euro","Fasce A/B/C disponibili. Spese adesione non previste nelle fasce A/B; fascia C con commissione una tantum come da scheda. Spese annue dirette fino a 30,00 euro; gestione variabile per fascia. Valore dataset per comparto: 30,00 Euro / 1,50% su base annua",,,"Schede multiple per fasce A/B/C; il PDF non consente estrazione affidabile di tutti i valori numerici in modo tabellare, quindi il dettaglio va verificato sulla fonte.",78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-A.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-B.pdf; 78 - Programma Open_GROUPAMA_scheda-sintetica-fascia-C.pdf
FPA,111,PRUDENTE,true,Adesione collettiva Azione di Previdenza,20 euro,"Spese adesione non previste; spese annue dirette: 20 euro. Gestione comparto: 1,00% del patrimonio su base annua.","1,00% del patrimonio su base annua.",,,111 - Azione di Previdenza_HDI_PARTE_I_SCHEDA_I_COSTI_per_adesione_su_base_collettiva_03-2026_def.pdf
FPA,111,EQUILIBRATA,true,Adesione collettiva Azione di Previdenza,20 euro,"Spese adesione non previste; spese annue dirette: 20 euro. Gestione comparto: 1,40% del patrimonio su base annua.","1,40% del patrimonio su base annua.",,,111 - Azione di Previdenza_HDI_PARTE_I_SCHEDA_I_COSTI_per_adesione_su_base_collettiva_03-2026_def.pdf
FPA,111,DINAMICA,true,Adesione collettiva Azione di Previdenza,20 euro,"Spese adesione non previste; spese annue dirette: 20 euro. Gestione comparto: 1,80% del patrimonio su base annua.","1,80% del patrimonio su base annua.",,,111 - Azione di Previdenza_HDI_PARTE_I_SCHEDA_I_COSTI_per_adesione_su_base_collettiva_03-2026_def.pdf
FPA,111,GARANTITA,true,Adesione collettiva Azione di Previdenza,20 euro,"Spese adesione non previste; spese annue dirette: 20 euro. Gestione comparto: 0,70% del patrimonio su base annua.","0,70% del patrimonio su base annua.",,,111 - Azione di Previdenza_HDI_PARTE_I_SCHEDA_I_COSTI_per_adesione_su_base_collettiva_03-2026_def.pdf
FPA,10,TFR+,true,Adesione collettiva - soglie potenziali aderenti,"€ 15,00","Spese adesione: 10,00 euro fino a 49 potenziali aderenti; 5,00 euro oltre 49. Spese annue dirette: 13,94 euro. Gestione comparto: 0,80% dal patrimonio su base annua.","0,80% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,10 - PrevidSystem_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,10,CRESCITA PRUDENTE,true,Adesione collettiva - soglie potenziali aderenti,"€ 15,00","Spese adesione: 10,00 euro fino a 49 potenziali aderenti; 5,00 euro oltre 49. Spese annue dirette: 13,94 euro. Gestione comparto: 0,80% dal patrimonio su base annua.","0,80% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,10 - PrevidSystem_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,10,CRESCITA DINAMICA,true,Adesione collettiva - soglie potenziali aderenti,"€ 15,00","Spese adesione: 10,00 euro fino a 49 potenziali aderenti; 5,00 euro oltre 49. Spese annue dirette: 13,94 euro. Gestione comparto: 0,90% dal patrimonio su base annua.","0,90% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,10 - PrevidSystem_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,10,ACCUMULAZIONE BILANCIATA,true,Adesione collettiva - soglie potenziali aderenti,"€ 15,00","Spese adesione: 10,00 euro fino a 49 potenziali aderenti; 5,00 euro oltre 49. Spese annue dirette: 13,94 euro. Gestione comparto: 1,05% dal patrimonio su base annua.","1,05% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,10 - PrevidSystem_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,10,RIVALUTAZIONE AZIONARIA,true,Adesione collettiva - soglie potenziali aderenti,"€ 15,00","Spese adesione: 10,00 euro fino a 49 potenziali aderenti; 5,00 euro oltre 49. Spese annue dirette: 13,94 euro. Gestione comparto: 1,35% dal patrimonio su base annua.","1,35% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,10 - PrevidSystem_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,70,MONETARIA,true,Adesione collettiva - sconti per numerosita,"13,00 euro","Spese adesione: 13,00 euro con sconti 25% fino a 15 aderenti, 50% da 16 a 99, 75% da 100 a 499, 100% oltre 499. Spese annue dirette: 18,59 euro. Gestione comparto: 0,57% dal patrimonio su base annua.","0,57% dal patrimonio su base annua.",,,70 - Giustiniano_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,70,TFR+,true,Adesione collettiva - sconti per numerosita,"13,00 euro","Spese adesione: 13,00 euro con sconti 25% fino a 15 aderenti, 50% da 16 a 99, 75% da 100 a 499, 100% oltre 499. Spese annue dirette: 18,59 euro. Gestione comparto: 0,66% dal patrimonio su base annua.","0,66% dal patrimonio su base annua.",,,70 - Giustiniano_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,70,BILANCIATA,true,Adesione collettiva - sconti per numerosita,"13,00 euro","Spese adesione: 13,00 euro con sconti 25% fino a 15 aderenti, 50% da 16 a 99, 75% da 100 a 499, 100% oltre 499. Spese annue dirette: 18,59 euro. Gestione comparto: 1,05% dal patrimonio su base annua.","1,05% dal patrimonio su base annua.",,,70 - Giustiniano_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,70,AZIONARIA,true,Adesione collettiva - sconti per numerosita,"13,00 euro","Spese adesione: 13,00 euro con sconti 25% fino a 15 aderenti, 50% da 16 a 99, 75% da 100 a 499, 100% oltre 499. Spese annue dirette: 18,59 euro. Gestione comparto: 1,35% dal patrimonio su base annua.","1,35% dal patrimonio su base annua.",,,70 - Giustiniano_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,70,OBBLIGAZIONARIA,true,Adesione collettiva - sconti per numerosita,"13,00 euro","Spese adesione: 13,00 euro con sconti 25% fino a 15 aderenti, 50% da 16 a 99, 75% da 100 a 499, 100% oltre 499. Spese annue dirette: 18,59 euro. Gestione comparto: 0,66% dal patrimonio su base annua.","0,66% dal patrimonio su base annua.",,,70 - Giustiniano_Scheda_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA BREVE TERMINE,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,50% dal patrimonio su base annua.","0,50% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA TFR,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,64% dal patrimonio su base annua.","0,64% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA MEDIO TERMINE,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,75% dal patrimonio su base annua.","0,75% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA LUNGO TERMINE,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,86% dal patrimonio su base annua.","0,86% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA BREVE TERMINE ESG,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,50% dal patrimonio su base annua.","0,50% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA MEDIO TERMINE ESG,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,75% dal patrimonio su base annua.","0,75% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,84,LINEA LUNGO TERMINE ESG,true,Adesione collettiva - classe C,Non previste,"Spese adesione non previste; spese annue dirette: 12,00 euro decrescenti in funzione del numero di potenziali aderenti; classe C. Gestione comparto: 0,86% dal patrimonio su base annua.","0,86% dal patrimonio su base annua.",Commissione incentivo prevista dalla scheda dove applicabile.,Commissione incentivo prevista dalla scheda dove applicabile.,84 - IlMioDomani_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,CAPITALE SICURO,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: 0,69% dal patrimonio su base annua.","0,69% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,GARANTITO,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: 0,99% dal patrimonio su base annua.","0,99% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,PRUDENTE,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: Classe C: 0,69% dal patrimonio su base annua.","Classe C: 0,69% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,MODERATO,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: Classe C: 0,84% dal patrimonio su base annua.","Classe C: 0,84% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,DINAMICO,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: Classe C: 0,90% dal patrimonio su base annua.","Classe C: 0,90% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,153,AGGRESSIVO,true,Adesione collettiva - classe C,"12,50 euro","Spese adesione nessuna; spese annue dirette: 9,00 euro. Gestione comparto: Classe C: 0,96% dal patrimonio su base annua.","Classe C: 0,96% dal patrimonio su base annua.",,,153 - UBIPrev_Scheda_I_Costi_Collettive_03_2026_UA.pdf
FPA,40,ACTIVITAS,true,Adesione collettiva Plurifonds,"25,82 euro","Spese adesione non richiesta per adesioni collettive/convenzionamenti; spese annue dirette: 20,49 euro per Aequitas, 15,49 euro altri comparti; residenti Trentino-Alto Adige: 12,75 euro Aequitas, 7,75 euro altri comparti. Gestione comparto: 1,50% del patrimonio su base annua.","1,50% del patrimonio su base annua.",,La scheda specifica che per adesioni collettive/convenzionamenti non e richiesto il pagamento della commissione una tantum.,40- Plurifonds.pdf
FPA,40,SOLIDITAS,true,Adesione collettiva Plurifonds,"25,82 euro","Spese adesione non richiesta per adesioni collettive/convenzionamenti; spese annue dirette: 20,49 euro per Aequitas, 15,49 euro altri comparti; residenti Trentino-Alto Adige: 12,75 euro Aequitas, 7,75 euro altri comparti. Gestione comparto: 1,15% del patrimonio su base annua.","1,15% del patrimonio su base annua.",,La scheda specifica che per adesioni collettive/convenzionamenti non e richiesto il pagamento della commissione una tantum.,40- Plurifonds.pdf
FPA,40,AEQUITAS,true,Adesione collettiva Plurifonds,"25,82 euro","Spese adesione non richiesta per adesioni collettive/convenzionamenti; spese annue dirette: 20,49 euro per Aequitas, 15,49 euro altri comparti; residenti Trentino-Alto Adige: 12,75 euro Aequitas, 7,75 euro altri comparti. Gestione comparto: 1,05% del patrimonio su base annua.","1,05% del patrimonio su base annua.",,La scheda specifica che per adesioni collettive/convenzionamenti non e richiesto il pagamento della commissione una tantum.,40- Plurifonds.pdf
FPA,40,SERENITAS,true,Adesione collettiva Plurifonds,"25,82 euro","Spese adesione non richiesta per adesioni collettive/convenzionamenti; spese annue dirette: 20,49 euro per Aequitas, 15,49 euro altri comparti; residenti Trentino-Alto Adige: 12,75 euro Aequitas, 7,75 euro altri comparti. Gestione comparto: 0,80% del patrimonio su base annua.","0,80% del patrimonio su base annua.",,La scheda specifica che per adesioni collettive/convenzionamenti non e richiesto il pagamento della commissione una tantum.,40- Plurifonds.pdf
FPA,40,SECURITAS,true,Adesione collettiva Plurifonds,"25,82 euro","Spese adesione non richiesta per adesioni collettive/convenzionamenti; spese annue dirette: 20,49 euro per Aequitas, 15,49 euro altri comparti; residenti Trentino-Alto Adige: 12,75 euro Aequitas, 7,75 euro altri comparti. Gestione comparto: 1,00% del patrimonio su base annua.","1,00% del patrimonio su base annua.",,La scheda specifica che per adesioni collettive/convenzionamenti non e richiesto il pagamento della commissione una tantum.,40- Plurifonds.pdf
FPA,50,OBBLIGAZIONARIO GARANTITO,true,Adesione collettiva - classe A,Non previste,"Spese adesione non previste; spese dirette non applicate; classe A. Gestione comparto: 0,45% annuo del patrimonio.","0,45% annuo del patrimonio.",,,50 - SELLASGR_EURORISPARMIO_SCHEDACOLLETTIVA.pdf
FPA,50,OBBLIGAZIONARIO,true,Adesione collettiva - classe A,Non previste,"Spese adesione non previste; spese dirette non applicate; classe A. Gestione comparto: 0,45% annuo del patrimonio.","0,45% annuo del patrimonio.",,,50 - SELLASGR_EURORISPARMIO_SCHEDACOLLETTIVA.pdf
FPA,50,BILANCIATO,true,Adesione collettiva - classe A,Non previste,"Spese adesione non previste; spese dirette non applicate; classe A. Gestione comparto: 0,60% annuo del patrimonio.","0,60% annuo del patrimonio.",,,50 - SELLASGR_EURORISPARMIO_SCHEDACOLLETTIVA.pdf
FPA,50,AZIONARIO EUROPA,true,Adesione collettiva - classe A,Non previste,"Spese adesione non previste; spese dirette non applicate; classe A. Gestione comparto: 0,70% annuo del patrimonio.","0,70% annuo del patrimonio.",,,50 - SELLASGR_EURORISPARMIO_SCHEDACOLLETTIVA.pdf
FPA,50,AZIONARIO INTERNAZIONALE,true,Adesione collettiva - classe A,Non previste,"Spese adesione non previste; spese dirette non applicate; classe A. Gestione comparto: 0,70% annuo del patrimonio.","0,70% annuo del patrimonio.",,,50 - SELLASGR_EURORISPARMIO_SCHEDACOLLETTIVA.pdf
FPA,17,GARANTITA ETICA,true,Adesione collettiva TESEO - classi 1/2,50 euro (Scheda I Costi standard),"Spese adesione non previste; spese dirette non previste. Gestione comparto: Classe 1 fino a 499 unita: 0,65%; Classe 2 da 500 unita: 0,65%.","Classe 1 fino a 499 unita: 0,65%; Classe 2 da 500 unita: 0,65%.",,Due PDF fonte: classe 1 fino a 499 unita e classe 2 da 500 unita.,17 - TESEO-Scheda Costi Collettivita_classe 1 finoa 499U - 2026-06.pdf; 17 - TESEO-Scheda Costi Collettivita_classe 2 da 500U - 2026-06.pdf
FPA,17,PRUDENZIALE ETICA,true,Adesione collettiva TESEO - classi 1/2,50 euro (Scheda I Costi standard),"Spese adesione non previste; spese dirette non previste. Gestione comparto: Classe 1 fino a 499 unita: 1,00%; Classe 2 da 500 unita: 0,65%.","Classe 1 fino a 499 unita: 1,00%; Classe 2 da 500 unita: 0,65%.",,Due PDF fonte: classe 1 fino a 499 unita e classe 2 da 500 unita.,17 - TESEO-Scheda Costi Collettivita_classe 1 finoa 499U - 2026-06.pdf; 17 - TESEO-Scheda Costi Collettivita_classe 2 da 500U - 2026-06.pdf
